Title	Complement	POS_1	Definition_1	POS_2	Definition_2	POS_3	Definition_3	POS_4	Definition_4	POS_5	Definition_5	POS_6	Definition_6
Ազատախումբ		s. adj.	cf. Ազատագունդ.										
Ազատախօս		adj.	cf. Համարձակախօս.										
Ազատակ		adj.	very noble.										
Ազատական	ի, աց	adj.	liberal; free; noble.										
Ազատականութիւն	ութեան	s.	liberty; liberality; generosity; nobleness.										
Ազատակին	կնոջ	s.	gentlewoman, dame, lady.										
Ազատակից	կցի, կցաց	adj. s.	free-companion.										
Ազատակոյտ		s.	the nobility.										
Ազատակրօն		s.	free-thinker.										
Ազատաղաց		s.	public free mill.										
Ազատամիտ		adj.	noble-minded, freehearted; generous, liberal.										
Ազատամտութիւն	ութեան	s.	free-heartedness; liberalism.										
Ազատանամ	ացայ	vn.	to free or rid oneself, to shake off, to break away; to be ennobled or exalted.										
Ազատանի	նւոյ	s. pl.	the nobility, the aristocracy, the court.										
Ազատասէր		adj.	fond of liberty, liberal.										
Ազտասիրաց		adj.	cf. Ազատասէր.										
Ազատասիրութիւն	ութեան	s.	love of liberty; liberalism.										
Ազատատոհմ	ի	s. adj.	cf. Ազատազարմ.										
Ազատատոհմիկ		adj.	cf. Ազատատոհմ.										
Ազատտատոհմութիւն	ութեան	s.	noble birth, nobility of family.										
Ազատարար	ի, աց	s. adj.	liberator, saver, deliverer.										
Ազատաքայլ		adj.	free-footed.										
Ազատեմ	եցի	va.	to liberate, to deliver, to save; to enfranchise, to emancipate; to free, to exempt, to disentangle, to disengage.										
Ազատեցուցանեմ	ուցի	va.	to free.										
Ազատեցուցիչ	չի, չաց	adj.	cf. Ազատարար.										
Ազատիչ	տչի, չաց	adj.	cf. Ազատարար.										
Ազատորդի	դւոյ	s.	free-born, son of a noble, nobleman.										
Ազատորեար	երոյ	s. pl.	the nobility, the peers.										
Ազատութիւն	ութեան	s.	liberty, freedom; exemption; privilege; emancipation, deliverance, enfranchisement; nobleness; generosity; frankness.										
Ազատուհի		s.	gentlewoman.										
Ազատքեղ		s. bot.	parsley; cf. Քեղակարոս.										
Ազատօրէն		adv.	cf. Ազատարար.										
Ազբախումբ		adj.	very close, serried.										
Ազբն	բին	s.	weft, woof, warp.										
Ազբոց		s.	simple stick.										
