Title	Complement	POS_1	Definition_1	POS_2	Definition_2	POS_3	Definition_3	POS_4	Definition_4	POS_5	Definition_5	POS_6	Definition_6
Ինքն	ինքեան, ինքեանք, ինքեանց	pron.	he; she; self; ես —, myself; դու —, thyself; նա —, himself, herself; ընդ — բարբառել, to say to one's self, to talk with one's self; յ— գալ, գալ — առ —, to come to one's self, cf. Զգաստանամ; յ— ամփոփիլ մտաց, to concentrate one's ideas, to collect one's thoughts; յ— արկանել, to attract, to win, to allure, to draw on, to entice, to gain; յ— հանել, to snatch away, to possess one's self of, to appropriate; ինքեան զօրութեամբ, by one's own power or force; ըստ ինքեան, of oneself.										
Ինքնաբար		adv.	by himself, spontaneously, voluntarily, of one's own accord.										
Ինքնաբաւ		adj.	self-sufficient.										
Ինքնաբեր		adj.	self-produced, natural, spontaneous.										
Ինքնաբերութիւն	ութեան	s.	natural production.										
Ինքնաբողբոջ		adj.	of natural growth.										
Ինքնաբոյս		adj.	self-produced, natural; that produces naturally.										
Ինքնաբորբոք		adj.	that which inflames, or excites itself.										
Ինքնաբուղխ		adj.	that flows or takes its rise naturally; self-produced; spontaneous, natural.										
Ինքնաբուն		adj.	natural, innate; — բարի, naturally good.										
Ինքնագէտ		adj.	that knows by himself.										
Ինքնագիր		adj.	original, autographic;	s.	autograph, original manuscript.								
Ինքնագիւտ		adj.	found out, discovered or invented by one's self; self-produced, spontaneous.										
Ինքնագլուխ		adj.	independent, absolute, free;	s.	autocephalus.								
Ինքնագոյ		adj.	self-existent; natural.										
Ինքնագոյութիւն	ութեան	s.	self-existence.										
Ինքնագործ		adj.	self-created; self-acting, that makes or works for himself, or by himself.										
Ինքնագործեմ	եցի	va.	to make by himself, to produce.										
Ինքնագործութիւն	ութեան	s.	own work, sole agency, own action, own composition.										
Ինքնադէպ		adj.	fortuitous, casual.										
Ինքնադէմ		adv.	face to face, personally, in person.										
Ինքնադիմաբար			cf. Ինքնադէմ.										
Ինքնադսրով		adj.	that blames himself.										
Ինքնազարդ		adj.	self-adorned, simple, natural; — շնորհք, ingenuous grace; — բանք, unaffected words										
Ինքնազօր		adj.	absolute, supreme, sovereign.										
Ինքնաթոյն		adj.	of a venomous nature.										
Ինքնաժառանդ		adj.	hereditary, in his own right, possessed by inheritance.										
Ինքնալոյս		adj.	of a luminous nature, bright, shining.										
Ինքնալուր		adj.	auricular, that has heard with his own ears; that only takes counsel of himself, or only obeys himself.										
Ինքնախաբ		adj.	self-deceiving, self-beguiled; — լինիմ, to deceive, or flatter one's self.										
Ինքնախաղաց		adj.	which flows of itself.										
Ինքնախորժ		adj.	desired by himself, voluntary.										
Ինքնախօս		adj.	that speaks to himself; that soliloquizes.										
Ինքնախօսութիւն	ութեան	s.	soliloquy, monologue.										
Ինքնածին		adj.	self-begotten, self-born; innate, natural.										
Ինքնակալ	աց	s.	autocrat, monarch, emperor;	adj.	self-depending, independent, absolute, free; — կամք, free will.								
Ինքնակալական	ի, աց	adj.	despotical.										
Ինքնակալութիւն	ութեան	s.	autocracy, monarchy, empire.										
Ինքնակալուհի		s.	female autocrat; empress.										
Ինքնակամ		adj.	voluntary, spontaneous, willing; wilful, self-willed; capricious;	adv.	voluntarily, willingly, spontaneously; — կրօնք, superstition; — անձնիշխանութիւն, free will								
Ինքնակամութիւն	ութեան	s.	spontaneousness, voluntariness, free will.										
Ինքնակայ	ից	adj.	that subsists by itself.										
Ինքնակայութիւն	ութեան	s.	distinct substance, hypostasis.										
Ինքնակապ		adj.	self-bound.										
Ինքնակատար		adj.	perfect, complete, absolute.										
Ինքնակաց			cf. Ինքնակայ.										
Ինքնակերպ		adj.	in his own form, in proper form.										
Ինքնակիր		adj.	own, proper, natural, innate; primary.										
Ինքնակոչ		adj.	uninvited, self-invited; — լինել, to come without invitation; — բազմական, parasite, smell-feast.										
Ինքնակործան		adj.	self-destroying; self-destroyed, self-ruined.										
Ինքնակրական	ի, աց	adj.	idiopathical.										
Ինհնակրութիւն	ութեան	s.	idiopathy.										
Ինքնահալած		adj.	fugitive, that flies of his own accord; — լինել, to take to flight.										
Ինքնահաճ		adj.	self-admiring, self-conceited, self-pleasing, presumptuous, arrogant; capricious, whimsical; affected.										
Ինքնահաճոյ			cf. Ինքնահաճ.										
Ինքնահաճիմ	եցայ	vn.	to be arrogant, presumptuous, conceited.										
Ինքնահաճութիւն	ութեան	s.	self-admiration, self-conceit, presumption, vanity, arrogance.										
Ինքնահաւան			cf. Ինքնահաճ.										
Ինքնահաւանիմ	եցայ	vn.	cf. Ինքնահաճիմ.										
Ինքնահաւանութիւն	ութեան	s.	cf. Ինքնահաճութիւն.										
Ինքնահիսակ		adj.	woven by himself.										
Ինքնահնար		adj.	fantastic, fictitious.										
Ինքնահոս			cf. Ինքնախաղաց.										
Ինքնահրաման		adj.	self-acting, independent, spontaneous.										
Ինքնաձայն		adj.	vowel; that has a sound by itself.										
Ինքնաձեռագիր	գրոյ		cf. Ինքնագիր.										
Ինքնաձեռն		adj.	voluntary; powerful; self-sufficient; — լինել, to take too much liberty, too great a latitude; — լինել յիմն, to dare to undertake something, to attempt, to dare, to presume; — լինել յիւր որդիս, to kill one's children with one's own hands; — խեղդամահ սատակիլ, to strangle, or choke one's self, to commit suicide										
Ինքնամատն			cf. Անձնամատն.										
Ինքնամատոյց		adj.	self-devoted; that produces naturally, natural; favorable;	s.	accident, fate, destiny; — դիմագրաւել, to expose one's self, to devote one's self; — տալ զօրինակն, to give an exemple easily imitated.								
Ինքնամարտ		adj.	that mortifies himself, that wages war against his passions; that wars against self.										
Ինքնամեռ		adj.	that dies a natural death; — լինել, to die a natural death.										
Ինքնամուխ		adj.	forward, hold, presumptuous.										
Ինքնայորդոր		adj.	voluntary, spontaneous, prompt, ready, inclined; — լինել, to crave, to have a longing for, to desire, to want, to long; — յորդոր յօժարութեամբ, of one's own freewill, willingly, cheerfully, voluntarily.										
Ինքնայօժար			cf. Ինքնայորդոր.										
Ինքնայօժարութիւն	ութեան	s.	spontaneity.										
Ինքնանախատ		adj.	self-upbraiding, self-reproving.										
Ինքնանամ	ացայ	vn.	to become a man, a free man; to emancipate one's self; to exist by itself.										
Ինքնանուէր		adj.	that offers his services, that gives himself, voluntary, free, self-devoted.										
Ինքնաշարժ		adj.	self-moving, automatic; presumptuous; forward.										
Ինքնապանծ		adj.	self-glorious, boastful.										
Ինքնապատիրութիւն	ութեան	s.	self-deceit, self-deception.										
Ինքնապատում		adj.	that relates himself; related by himself.										
Ինքնապարծ			cf. Ինքնապանծ.										
Ինքնապարսաւ			cf. Ինքնանախատ.										
Ինքնասահման		adj.	unbounded, illimited, immense, infinite.										
Ինքնասանձ լինիմ		sv.	to restrain oneself, to keep within bounds.										
Ինքնասաց		adj.	said or pronounced by himself.										
Ինքնասէր		adj.	self-loving, selfish, egotistical.										
Ինքնասիրութիւն	ութեան	s.	self-love; egotism, selfishness.										
Ինքնասպան			cf. Անձնասպան; — լինել անձին իւրոյ, to commit suicide, to kill one's self.										
Ինքնաստեղծ		adj.	self-created, invented; fictitious, imaginary, fancied, fantastical.										
Ինքնաստեղծութիւն	ութեան	s.	fiction; invention.										
Ինքնաստորակայ		adj.	subsistent, existing by itself.										
Ինքնատես	աց		cf. Ականատես.										
Ինքնատէր		adj.	one's own master, absolute, independent; — եմք գործոց մերոց, we are masters of our own actions.										
Ինքնատէրութիւն	ութեան	s.	being one's own master, free will, liberty, independence; absolute or supreme dominion.										
Ինքնարգոյ		adj.	conceited, vain, vainglorious, presumptuous.										
Ինքնարշաւ		adj.	that runs by itself.										
Ինքնաւոր		adj.	proper, own natural.										
Ինքնեակ	աց	adj.	that comes of his own accord, voluntary; self-produced, fortuitous, natural;	adv.	by chance, naturally.								
Ինքնեկ	աց	s.	deserter, fugitive, turn-coat.										
Ինքնեղ		adj.	self-existent, uncreated; natural, spontaneous.										
Ինքնեղութիւն	ութեան	s.	self-existence, substance, natural production.										
Ինքներկրեայ		adj.	indigenous.										
Ինքնին		adv.	by himself, personally, in person; դու —, yourself, (thyself); ես — իսկ եմ, it is I (myself); թագաւորն —, the king himself, in person; դուռն — բացաւ, the door opened of itself.										
Ինքնիշխան	աց	adj.	absolute, sovereign, independent, free, uncontrolled; despotic										
Ինքնիշխանաբար		adv.	absolutely, independency, supremely.										
Ինքնիշխանական	ի, աց	adj.	absolute, supreme.										
Ինքնիշխանութիւն	ութեան	s.	absolute power, independence, freedom, despotism.										
Ինքնյայանապէս		adv.	in the very act.										
Ինքնյօժար			cf. Ինքնայօժար.										
Ինքնութիւն	ութեան	s.	selfhood, individuality, personality; essence, nature, property.										
Ինքնուս		adj.	self-taught; self-educated.										
Ինքնուսումն	ման	s.	cf. Ինքնուս.										
Ինքնուրացութիւն	ութեան	s.	abnegation, self-denial.										
Ինքնուրոյն		adj.	particular, separate, peculiar.										
Ինքնօրէն		adj.	autonomous, independent;	fig.	capricious, fanciful;	adv.	capriciously.						
Ինքնօրինութիւն	ութեան	s.	autonomy, independence, freedom; law established by caprice;	fig.	caprice, whim, humour.								
Ի՜շ		int.	Oh! fie! pish! pugh!										
Իշակէս	կիսոյ	s. zool.	mule.										
Իշամեղու	ղուի	s.	hornet, wasp.										
Իշամտրուկ	րկի	s.	ass's foal or colt.										
Իշայր		s.	wild ass.										
Իշան			cf. Իշեան.										
Իշանամ	ացայ	vn.	cf. Գիջանամ.										
Իշանդամ		adj.	lascivious; whose flesh is as the flesh of asses.										
Իշապան		s.	keeper of asses.										
Իշավայր	ից	s.	wild ass, onager.										
Իշավայրի	րւոյ, րեաց		cf. Իշավայր.										
Իշավար	աց	s.	donkey-driver; goad, spur, stimulus for asses.										
Իշացուլ	ցլուց	s.	onooentaur, jumart; cf. Յուշկապարիկ.										
Իշեան		s. pl.	asses.										
Իշխան	աց	s.	prince, sovereign, despot; minister; magistrate; ruler, governor, chief, commander; —աց —, — աշխարհի, the sovereign, the king; prince, crown-prince, heir-apparent; — զօրուն, general of the army; —երգոց, cf. Դասապետ; —ք, the authorities; — լինել, to rule, to command, to be in power, in authority; — առնել զոք, to give power to some one; — էր իւրոց ախտից, he was master of himself, or his own master; քում գլխոյդ չես —, you are not lord of your own life; չէ —, he cannot, he is not authorised to; cf. Թեկն.										
Իշխանաբար		adv.	as a sovereign, as a commander, authoritatively; magisterially, imperiously; willingly; — կեալ, to live like a prince, to lead a princely life.										
Իշխանազն	զին, զունք	s.	prince, prince royal, prince of the blood; petty sovereign.										
Իշխանական	ի, աց	adj.	sovoreign, imperial; seigneurial, of or belonging to a baron; magisterial; absolute; lordly; noble; ruling, in power, in authority; —ն տունջեան, — գիշերոյ, the sun; the moon, the stars.										
Իշխանականութիւն	ութեան	s.	cf. Իշխանութիւն.										
Իշխանակին	կնոջ	s.	sovereign's wife, princess.										
Իշխանակից	կցի, կցաց	s.	joint ruler, joint sovereign; partner in dignity, colleague.										
Իշխանանամ	ացայ	vn.	to become a prince er sovereign; to rule, to have dominion, to sway, to command.										
Իշխանանիստ		adj.	where the sovereign resides, capital, metropolitan.										
Իշխանապանծ		adj.	boastful, haughty.										
Իշխանապետ	աց	s.	chief ruler, first prince; prime minister; dictator.										
Իշխանապետութիւն	ութեան	s.	dictatorship.										
Իշխանասաստ		adj.	imperious, lordly, dictatorial.										
Իշխանասէր		adj.	ambitious.										
Իշխանասիրութիւն	ութեան	s.	ambition, immoderate thirst of dignity or power.										
Իշխանատուն		s.	principality, dominion, lordship, power, rule, state; family or household of a prince, court.										
Իշխանաւոր	աց	s.	subject, vassal; dignitary.										
Իշխանափոխ լինիմ		sv.	to change one's prince or king.										
Իշխանորդի	դւոց	s.	son of a prince.										
Իշխանութիւն	ութեան	s.	sovereignty, principality, lordship; authority, faculty; empire, dynasty, sway, rule, dominion, domination; abselute power; dignity; right, privilege; government, command, power, jurisdiction; free will, liberty; licence, exclusive permission; place, post; diocese; —ք, principalities (tho third order in the celestial hierarchy); հոգեւոր՝ ժամանակաւոր, spiritual and temporal power; առաւելազանց —, too much authority; յ— հասանել, to rise to dignities; to get into office, or power; տալ ումեք զամենայն —, to empower, to give carte-blanche, or full powers to; լինել ընդ իշխանութեամբ ուրուք, to be in the power of some one, or dependent on some one; այս ի վեր քան գիմս է —, that is beyond my power, that surpasses my capacity.										
Իշխանուհի		s.	princess										
Իշխանօրէն		adv.	cf. Իշխանաբար.										
Իշխեմ	եցի	vn.	to reign, to rule, to govern, to be master; to be in power, to have power or authority; to presume, to take the liberty, to dare; — կրից՝ ախտից, to master, to dominate, or command one's passions; — մտաց ուրուք, to hook, to lay one's hand on some one, to influence the thoughts and actions of some one.										
Իշխեցեալ		s.	subject.										
Իշխեցող		s.	ruler, prince, governor;	adj.	predominant.								
Իշխեցուցանեմ	ուցի	va.	to give power, authority, to cause to dominate; իշխեցուցեր ի վերայ իմ զմահ, you placed me in the power of death, you put death in authority over me.										
Իշխող			cf. Իշխեցող.										
Իշկոյ վարունգ		bot.	elaterium, wild cucumber; colocynth.										
Իշկորնկան			cf. Զուիրակ.										
Իշորդի	որդւոյ	s.	ass's foal; mule.										
Իշոցք			"cf. <a href=""./?s=Յիշոց"">Յիշոցք</a>."										
Իշուկ	իշկան, իշկոյ	s.	young ass, foal; great ass, blockhead.										
Ի՜շա		int.	oh! fie! pugh! pish ho there I holla!										
Իջակ		s.	half a page, little column (of a book).										
Իջանեմ	իջի, էջ	vn.	to descend; to fall; to decline; to sink; to settle, to subside; to light, to sit down; to empty itself; to lodge, to stop at, to sojourn; cf. Սերիմ; ի ծառայութիւն —, to lower one's self to servitude, to become a servant; յաղքատութիւն —, to impoverish one's self, to become poor; — ի նաւէ, ի կառաց, յերիվարէ, to disembark, to go ashore, to land; to alight, to get out of a carriage; to dismount or alight, to get off, to get down from a horse; — ի գերեզման՝ իհող մահու, to descend into the grave, to be buried; — յօթեւան ուրեք, to put up at an hotel; — ի հպարտութենէն, to humiliate one's self; to relent, to soften, to become calmed, appeased; ի թիկունս —, to go to the rescue, to succour; — ի հանդէս մարտի, to come to blows, to fight; — գետոց ի ծով, to discharge, to fall into, to disembogue, to disgorge, to empty itself, to overflow; արտասուք զծնօտիւք իջանեն, the tears fell down his (or her) rosy cheeks; էջ մրրիկ հողմոյ ի ծովակն, a storm broke over the lake.										
Իջավան	աց	s.	inn, hotel, lodging; —ս առնել, to take lodgings, to lodge; —ս տալ, to lodge, to receive into one's hotel, to accomodate with lodgings, to harbour; to entertain.										
Իջավանիմ	եցայ	vn.	to lodge, to take up ones abode, to stop, to reside, to dwell, to nestle.										
Իջաւան			cf. Իջավան.										
Իջեվան			cf. Իջավան.										
Իջեւան			cf. Իջավան.										
Իջաւոր	աց	s. adj.	traveller, passenger; guest, lodger.										
Իջուածք		s.	inflammation.										
Իջումն	ման	s.	descent; fall; declivity; act of sinking; subsidence.										
Իջուցանեմ	ուցի	va.	to make to descend, to cause to fall; to let down, to lower; to pull down, to take down; to unfasten, to untie; to turn out, to discard, to dismiss, to remove; — զառագաստ նաւու, to lower sail, to strike sail; արտասուս —, to shed tears, to weep.										
Իռիս		s.	Iris, rainbow; cf. Ծիածան.										
Իսկ		s.	essence, reality, substance, truth;	adj.	essential, real, effective, true;	conj.	besides, moreover; but, still, yet; in fact, really; even; as for, as to; զիսկն գիտել, զիսկն ասել, to be thorougly acquainted with; to tell the simple truth; to exhaust a subject; մեզէն — լուաք, we ourselves have heard; ինձ — գլխովին, to me; to myself; բնաւ — ոչ, not at all; բնաւ — զի՞ լսէք նմա, why do you listen to him ? չէ եւ չէ —, by no means, in no way whatever; յայտ —է, it is palpable, evident, clear; — ես, for me, as for me; — վասն, as for;	adv.	— եւ —, in a moment, soon, speedily, immediately, instantly, directly, forthwith; truly, in effect, really.				
Իսկական	ի, աց	adj.	real, effective, true, essential, natural, proper;	s.	the Eternal, the Everlasting One.								
Իսկակից	կցի, կցաց	adj.	of the same nature, or essence, consubstantial.										
Իսկակցութիւն	ութեան	s.	cf. Էակցութիւն.										
Իսկաճեմ		adj.	walking, or flying with a graceful motion; seeking after the truth.										
Իսկապէս		adv.	really, in effect, in fact, truly; — բարի, essentially good; — բերկրանք, true or durable pleasures.										
Ի սկզբանէ		adv.	from the beginning, at the beginning; cf. Սկիզբն.										
Իսկոյն			cf. Իսկ եւ իսկ.										
Իսկութիւն	ութեան	s.	reality, truth; essence, substance, nature; naturalness; personality, hypostasis;	chem.	essence, essential or volatile oil; — բեւեկնոյ, spirit, or — of turpentine.								
Իսկուհի	հւոյ	s.	Queen; — Կոյս, the Holy Virgin; — երկնից, queen of heaven.										
Ի սպառ		adv.	to the end; finally, at length, at last; fully, altogether, wholly, entirely, quite.										
Իսպառազէն			cf. Սպառազէն.										
Իսպառսպուռ			cf. Սպառսպուռ.										
Ի ստորեւ			cf. Ստոր.										
Ի ստորէ			cf. Ստոր.										
Իվայրաձիգ			cf. Վայրաձիգ.										
Իվեր			cf. Վեր.										
Իվերայ			cf. Վերայ.										
Իր	իրի, իրաց	s.	thing; affair; fact, effect, substance; reality; յ— արկանել, to use, to wear; to put in execution; օգնել իւիք, to procure assistance; — ոչ կարեմ առնել —ս ինչ, I can do nothing; —ք առն յառաջադէմ յաջողէին, this man's affairs prospered; այր հմուտ —աց պատերազմի, a man experienced in warfare; կարեւոր —, an important affair; —ք աշխարհին, public business; իրաց իրաց, of various, or many things; յ—ս յ—ս, in various matters; —օք, by deeds; really, effectively; ամենայն —օք, in any vay, or manner, at all events; սմին, դմին, նմին —ի, for this, therefore, for this, that reason; բարւոք ընթանան —ք, cf. Ընթանամ; ընդ բան եւ ընդ — է մեծ ինչ խտիր, saying and doing are two things.										
Իրագէտ	գիտի, տաց	adj.	well versed, well informed, acquainted, intelligent; — լինել, to be in confidence, to be made acquainted with an affair, to know the case.										
Իրագործեմ	եցի	va.	to effect, to do, to execute.										
Իրագործութիւն	ութեան	s.	action, performance, deed.										
Իրազեկ առնել		sv.	to inform, to initiate, to let into a secret, to make acquainted; — լինել, to be informed, to be made acquainted, to be aware of, to acquaint one's self with, to know; զորոց — եղեն զքէն, those things they have heard about you.										
Իրազեկութիւն	ութեան	s.	information, knowledge, investigation.										
Իրական	ի, աց	adj.	real, effective, actual, substantial, positive; —աց պատմութիւն, the history of events.										
Իրակութիւն	ութեան	s.	action, act, deed.										
Իրահամարձակ		adj.	meddling, fussy, busy;	s.	factotum, busy-body, meddler.								
Իրան	աց	s.	trunk, upper part of the body.										
Իրանունք	նաց	s.	temple, (side of the forehead).										
Իրապէս		adv.	really, in effect, positively; substantially, physically, naturally.										
Իրաւ	աց	s.	justice, equity, law;	adj.	just, true, lawful;	adv.	justly, reasonably, rightly; — առնել, to do justice, to justice; դուք ձեզէն տուք զ—ն, be ye yourselves the judges, judge for yourselves.						
Իրաւաբան	ից	s.	speaker of truth; lawyer, barrister;	adj.	just, true.								
Իրաւաբանական	ի, աց	adj.	juridical.										
Իրաւաբանեմ	եցի	va.	to speak truth; to plead; to practise law.										
Իրաւաբանութիւն	ութեան	s.	veracity; reasoning, argument; pleading.										
Իրաւաբար		adv.	cf. Իրաւապէս.										
Իրաւագէտ		s.	jurist, lawyer, counsellor.										
Իրաւագիտութիւն	ութեան	s.	jurisprudence, law, right.										
Իրաւադատ		adj.	that judges righteously, just, equitable, incorruptible.										
Իրաւադատութիւն	ութեան	s.	justice; right judgment.										
Իրաւախոհ	աց	adj.	whose thoughts are bent on justice, just, equitable; — լինել, to be composed, adjusted; — առնել, to accord, to conciliate, to reconcile.										
Իրաւախորհ			cf. Իրաւախոհ.										
Իրաւախոհութիւն	ութեան	s.	adjustment, accommodation; agreement, articles.										
Իրաւախօս		adj.	truth-speaking, truthful, veracious.										
Իրաւակ		adj.	true and just.										
Իրաւական			cf. Իրաւակ.										
Իրաւակալութիւն	ութեան	s.	usucaption.										
Իրաւակշիռ			cf. Արդարակշիռ.										
Իրաւամերժ		adj.	cast out or rejected deservedly.										
Իրաւանամ	ացայ	vn.	cf. Արդարանամ.										
Իրաւապէս		adv.	justly, worthily, equitably, deservedly.										
Իրաւասէր			cf. Արդարասէր.										
Իրաւասոյզ		adj.	unjust, corrupt; that conceals the truth or justice, corrupting, bribing.										
Իրաւասութիւն	ութեան	s.	law, justice; jurisdiction.										
Իրաւարար	աց	adj.	that renders justice, judging rightly;	s.	judge, arbiter, umpire, mediator; — կացուցանել, to make judge; — անբողոքելի, sovereign judge.								
Իրաւացի	ցւոյ, ցեաց	adj.	just, equitable, right, reasonable; lawful, legal; honest, worthy, righteous;	adv.	justly, equitably, reasonably; — է, it is right, just.								
Իրաւացուցանեմ	ուցի	va.	to justify, to approve, to do justice; — զիրաւունս այրուոյն, to support the cause of widows; — զոք թագաւորել, to confer the right to reign, to legitimate the reign.										
Իրաւընտիր		adj.	who discerns between and judges, who decides;	s.	judge, arbiter.								
Իրաւի			cf. Յիրաւի.										
Իրաւորեմ	եցի	va.	to effect, to put in execution, to do.										
Իրաւունք	ւանց	s. pl.	right, justice, equity; due; law; duty; reason; rectitude, uprightness; right, faculty, power, competence;	adv.	իրաւամբք or ըստ իրաւանց, by right, rightfully, justly, duly, lawfully; որո՞վ իրաւամբք, by what right ? with what authority ? աստուածային —, divine-right; ամենայն իրաւամբք, with all one's authority; —նս առնել or ընտրել, to render justice, to judge; զիրաւունս ուրուք ի գլուխ հանել, to justify completely; առնել ումեք —նս ի ձեռաց թշնամեաց, to free one from his adversaries, to acquit; —նս համարել՝ վարկանել, to think, or repute right, to think it proper, to believe oneself right; —նս տալ, to show with reason, to bring proofs; to justify, or exculpate oneself; զիրաւունս ցուցանել, to prove one's rights, to adduce or allege proofs in one's defence; to contest, to bring an action against; —նս հանել, to judge rightly; to justify; զ—նս ի նա հանել, to pronounce judgment in one's favour; զիրաւունս իւր կացուցանել, զիրաւունս անձին ցուցանել, to put in one's claim, to avail oneself of one's rights; —նս խնդրել, to ask for justice, to demande one's right; պինդ կալ յիրաւունս, պահանջել զիրաւունս, to sustain one's rights; թիւրել զիրաւունս, to cavil, to sophisticate, to overstain the law; — են նոցա բողոք ունելոյ, they have reason for complaint; եւ իրաւամբք արդեօք, that is not without reason.								
Իրեար	զիրեարս	s.	one another, each other; reciprocally; չեն յ— նման, they are not like, they do not resemble each other; շաղկապէ զինքեանս առ —, it unites one to the other, colleagues; ընդ — անկանել, to rise one against the other, to fall out, or disagree among themselves, to quarrel, to come to blows, to fight; անդամք ընդ իրեարս պատշաճ, well proportioned limbs; տեսանել զերեասս իրերաս, to see each other; ի վերաս իրերաց սպանանել, to kill one after the other; անդոսնել զիրերօք, to despise one another; իրերօք օգնել միմեանց, to help one another.										
Իրողութիւն	ութեան	s.	affair, transaction, circumstance; occupation, employment, negotiation of affairs, business, practice; cf. Գործ.										
Իրոցեմ			cf. Իրագործեմ.										
Իրօրէն			cf. Իրապէս.										
Իցէ		adv. conj.	can it be! is it possible ? — թէ տեսից ? when shall I see ? will it ever happen that I shall see ? իցէ՜ թէ, oh that! would to Heaven that when will it be ? please God ! իցէ՜ թէ հաճեսցին դիք, the gods permitting; իցէ՜ թէ արշաւեսցեն երիվարք ընդ վէմս, can horses run on loose stones!										
Իցի՛ւ	իցի՛ւ թէ		cf. Իցէ՜ թէ;	adv.	why? for what reason ?								
Ի՞ւ	Ի՞ւ իւիք	adv.	in what? with what? in what way, or manner? ի՞ւ գիտացից, how shall I know it ?										
Իւիք իւիք			cf. Ինչ.										
Իւլապասի		s. bot.	jujube; cf. Յունապ.										
Իւլապենի		s. bot.	zizvphus, lok-tree or jujube-tree; cf. Յունապի.										
Իւղ	ոյ	s.	oil olive-oil; butter; ointment, salve, ungnent; pomatum; essence, essential oil; perfume; —ք անուշունք, անուշից, perfumery; — օծութեան, extreme unction; holy oil; chrism; — ողորմութեան, alms, charity; օծանել զերեսս անոյշ —ով, to anoint one's face with precious ointment; առնուլ զհոտ —ոյ, to smell of oil; զտել զ—, to clarify oil; խանութ —ոյ, oil-shop; հնձան —ոյ, oil-press; վաճառականութիւն —ոյ, the oil-trade; շիշ —ոյ, oil-bottle, or cruet; — սեղանոց, salad-oil.										
Իւղաբեր	ից	adj.	that produces, or brings oil, ointment or essence.										
Իւղաբուղխ		adj.	that produces oil, oily, unctuous.										
Իւղագլխեմ	եցի	va.	to anoint the head, to initiate, to conseerate, to ordain.										
Իւղագլխիմ	եցայ	vp.	to be initiated; to be consecrated, ordained.										
Իւղագլխութիւն	ութեան	s.	hair-ointment; sacred unction for the head only; initiation; admission to the rites and mysteries of a religion.										
Իւղագլուխ		adj.	anointed; initiated, sacred.										
Իւղագործ	աց	s.	perfumer; cf. Իւղարար.										
Իւղագործութիւն	ութեան	s.	perfumery.										
Իւղաթուրմ		adj.	steeped in aromatic oil, unctuous, all over oil; — գլուխ, perfumed head.										
Իւղալի			cf. Իւղալիր.										
Իւղալիր		adj.	oily, oleaginous, unctuous, fat, greasy										
Իւղալից			cf. Իւղալիր.										
Իւղածին կազ			cf. Կազ.										
Իւղաման	ի	s.	cruet-stand; oil-cruet, oil-bottle.										
Իւղային		adj.	oleaginous.										
Իւղայիտ		s. chem.	elaidine.										
Իւղաներկ		s.	oil-colours; — նկար, պատկեր, oil painting; նկարել —, to paint in oil.										
Իւղավաճառ	աց	s.	oil-man, oil merchant; կրպակ —ի, oil-shop; հնձան —ի, oil press.										
Իւղատ		s. chem.	oleate.										
Իւղատերեւ	ի	s. bot.	malabathrum.										
Իւղարան	աց	s.	pot, or vase for ointment; the vase for holy oil; place for anointing; oil factory.										
Իւղարար	ի	adj.	olefiant, yielding oil, oil-forming;	s.	butter man, dealer in butter.								
Իւղարկեմ	եցի	va.	to oil, to anoint, to grease.										
Իւղեմ	եցի	va.	cf. Իւղարկեմ.										
Իւղաւոր		adj.	unctuous.										
Իւղաւորութիւն	ութեան	s.	unctuosity.										
Իւղենի		s.	that produces oleaginous fruits, perfumes, ineenses; olibanum, frankincense, incense-tree.										
Իւղեփեաց	եփեցաց	s.	perfumer.										
Իւղեփեցութիւն	ութեան	s.	perfumery.										
Իւղնձիւղ		adj.	oil-producing; — փայտ, olive-tree.										
Իւղիկ		s.	a little oil.										
Իւղիտ		s. chem.	oleine, elain, fat of oil.										
Իւր	ոց	pron.	his, her; his own; —ով անձամբ, personally, in person; իբրեւ —ոյ հայէր մեծութեանն, he considered riches as belonging to himself; — առնել, to be appropriated; cf. Իւրացուցանեմ; յ— վերայ or ի վերայ —, on him; —քն, his relations, friends, dependents.										
Իւր	եանց, եամբք	s.	himself.										
Իւրաբնակ		adj.	where he dwells; of his habitation.										
Իւրագործ		adj.	made by himself, his.										
Իւրագիր		adj.	founded or established by himself.										
Իւրածին		adj.	produced by himself, his.										
Իւրակայան			cf. Իւրաբնակ.										
Իւրական	ի, աց	adj.	his own, his.										
Իւրակերտ		adj.	built or constructed by himself.										
Իւրակից		adj.	the same as he, in conjunction with him.										
Իւրահոգ		adj.	egotist, that thinks only of self; — շահասիրութիւն, self-interest.										
Իւրային	այնոյ	adj. s.	his, his own; —քն; his parents, servants; his works, deeds, property, wealth, goods.										
Իւրանման		adj.	like himself, of his own nature.										
Իւրապէս		adv.	like him.										
Իւրաստեղծ		adj.	created by himself.										
Իւրացուցանեմ	ուցի	va.	to appropriate to himself; to usurp.										
Իւրաքանչիւր	ոց	adj. s.	each, every; respective; — ոք, each individually; — ոք առանձինն, each one separately; մեկնեցան — յեղբօրէ իւրմէ, brother was separated from brother; առն —, to each one; — ումեք ի նոցանէ, to each of them; գործք — ուրուք, each man's acts; յ— աւուր, each day, every day.										
Իւրեանցակուռ		adj.	forged by themselves.										
Իւրեանցային	այնոց	s. adj.	their, theirs.										
Իւրոյին		adj.	his, his own.										
Իւրովաբար		adv.	accidentally, by chance.										
