title,part_of_speech,definition,current_etymology,suggested_etymology,source,notes
ԳՐԵԽ,,"«գործիք՝ որով լուծողա-կան են սրսկում փորը. olsstère"". միջին հյ. բառ (Նորայր, Բառ. ֆր. 550բ), «սրսկե-",Etymology needs research,,merge_complete.py,
Գնել,proper noun,A male given name.,Etymology needs research,,merge_complete.py,
ԴԱԴԷ,,"«մի տեսակ մագլցող սոխ» Բժշ., ու-նին միայն ՀԲուս. § 541 և Բառ. երեմ. յա-ւել. էջ 566։",Etymology needs research,,merge_complete.py,
ԴԱՅԼ,,տե՛ս Դալ։,Etymology needs research,,merge_complete.py,
ԴԱՆԴ,,", ի հլ. «թանձրացեալ մրուր հեղուկ նիւթոց». ունի միայն ՓԲ. անստոյգ բառ։",Etymology needs research,,merge_complete.py,
ԴԱՆԿ,,տե՛ս Դանգ։,Etymology needs research,,merge_complete.py,
ԴԱՓՐ,,"(գրուած նաև դաբր, տափր, տաբր) գործածուած է միայն դափր հատանել ոճի մէջ՝ «ձիու՝ ոտքերով գետինը զարնել ",Etymology needs research,,merge_complete.py,
ԴԳԱԼ,,տե՛ս Տարռաւ։,Etymology needs research,,merge_complete.py,
ԴԷՈՆ,,"«արկղ». նորագիւտ բառ, որ մէկ ան-գամ գտնում եմ գործածուած Սասն. էջ 60 «դեպան մեղրալից և դէոն կտակարան",Etymology needs research,,merge_complete.py,
ԴԺԱԿ,,տե՛ս Դրլժ։,Etymology needs research,,merge_complete.py,
ԴԻԱՐ,,րե՛ս Սեղենդիար։,Etymology needs research,,merge_complete.py,
ԴԻՐԴ,,տե՛ս Դրդել։,Etymology needs research,,merge_complete.py,
ԴԻՒԹ,,", ի-ա հլ. (յետնաբար նաև ի հլ.) «վը-հուկ, կախարդ» Բ. մնաց. լե. 19. Ոսկ. ես. Կոչ. 270, «դիւթական, կախա",Etymology needs research,,merge_complete.py,
ԴՆՈՐ,,«պատգարակ կամ մահիճ կամ դա-փոխ» (1)-այսպէս ունի Բառ. երեմ. էջ 79։,Etymology needs research,,merge_complete.py,
ԴՈԿՈ,,տե՛ս Տուղու-,Etymology needs research,,merge_complete.py,
ԴՈՅՐ,,տե՛ս Դիւր։,Etymology needs research,,merge_complete.py,
ԴՈՒԿ,,տե՛ս Դուոս.,Etymology needs research,,merge_complete.py,
ԴՈՒՆ,,". ո հլ., որից՝ դունոյ հատիկ «մի տևսայ բոյս. csperus rotundus, ֆր. sou-chet odorant» (ըստ Նորայր, Բառ",Etymology needs research,,merge_complete.py,
ԴՈՒՐ,,"«հողի չա՞փ է». մէկ անգամ գտնում եմ գործածուած Օրբել. 157 «Սահմանք Դա-րատափոյ այս են, որ յիւր ձեռնագր",Etymology needs research,,merge_complete.py,
ԴՐԱԿ,,"«հասակ». այս անծանօթ բառը գըտ-նում եմ միայն Գէորգ Դպրի պարսկերէն բառարանում՝ էջ 39 ա, գատ բառի բացա-",Etymology needs research,,merge_complete.py,
ԴՐԻՃ,,"(ներգ. ի դրճի) «հմայական կծիկ հմաւեակ» Կանոն. ուրիշ վկայութիւն չկայ. անստոյգ բառ է, որովհետև կարող է",Etymology needs research,,merge_complete.py,
ԴՐԻՐ,,«ոժաւար». ոյնի միայն Բառ. երեմ. էջ 81։-Տե՛ս և դրեշտ։,Etymology needs research,,merge_complete.py,
Դոնի,proper noun,dative singular of Դոն (Don).,Etymology needs research,,merge_complete.py,
ԵԲԱՐ,,«լրացեալ հնութիւն». ունի միայն Բառ. երեմ. էջ 82։,Etymology needs research,,merge_complete.py,
ԵԿԻՏ,,"«ծածուկ». ունի միայն Բառ. երեմ, էջ 84։-",Etymology needs research,,merge_complete.py,
ԵՂԱԳ,,տե՛ս Աղառ։,Etymology needs research,,merge_complete.py,
ԵՂԱՐ,,"«ողբ, կոծ» ունի միայն ՀՀԲ. սրա-նից են կազմուած եղարամայր «ողբ երգող կին» Ոսկ. եբր. և փիլիպ. Պիտ. յետ",Etymology needs research,,merge_complete.py,
ԵՂԵՐ,,", ԵՂԵՐԱՄԱՅՐ տե՛ս Եղար։",Etymology needs research,,merge_complete.py,
ԵՂԷԳ,,"(սեռ. եղեգի, եղիգի, գըծ. եղեգով, եղիգով) «եղերդ, դառնիճ, chicorèe» Ել. ժբ. 8 Թուոց թ. 11, Եփր. ել.։",Etymology needs research,,merge_complete.py,
ԵՂԷԶ,,"«գետին, որ քրտինքի նման ջուր է թորում». նորագիւտ բառ, որ երկու անգամ դտնում եմ գործածուած Վիմ. տար. ",Etymology needs research,,merge_complete.py,
ԵՂԻՃ,,"«մե տեսակ փշաբոյս է. թրք. ըսըր-ղան, ֆր. ortie, ռուս. краnива, գւռ. կճան. խնի, լտ. urtica dioica L (Տ",Etymology needs research,,merge_complete.py,
ԵՆՈՎ,,"«մոռանալով» այսպէս ունի Բառ. երեմ. էջ 88, ի՛նչ լինելը յայտնի չէ։",Etymology needs research,,merge_complete.py,
ԵՍԵՆ,,«դարան կամ լռութիւն կամ աղ-բիւր». ունի միայն Բառ երեմ. էջ 89։,Etymology needs research,,merge_complete.py,
ԵՐԱԳ,,տե՛ս Արագս,Etymology needs research,,merge_complete.py,
ԵՐԱԽ,,"«քահանայական հանդերձի պճըղ-նաւոր սպիտակ շապիկը». Լմբ. թգւրօրհ. (հրտ. Սիսուան). ունի միայն Հացունի, Պ",Etymology needs research,,merge_complete.py,
ԵՐԱՀ,,"«փառաւորուած, պա-տիւ գտած կամ ուրախ». մէկ անգամ ունի Ե-ոիշ. գ. էջ 64 «Առատաձեռն պարգևօք եռա-հիկք (կա",Etymology needs research,,merge_complete.py,
ԵՐԱՅ,,տե՛ս Երէ։,Etymology needs research,,merge_complete.py,
ԵՐԱՆ,,«բարակ քամի» Ոսկ. լհ. մև. և հև-րոդ. 618. (գրուած էրան ձևով՝ ըստ յետին արտասանութան). «քամին անձնաւոր,Etymology needs research,,merge_complete.py,
ԵՐԷԶ,,", ի-ա հլ. «քարոտ, կոշտ, խոպան» Փիլ. այլաբ. 116. Պիտ., «քարքարուտ տեղ, ապառաժուտք» Մխ. ապար. Մագ., որ",Etymology needs research,,merge_complete.py,
ԵՐԻԶ,,", ո հլ. «երկար և նեղ կտաւի շերտ՝ իբր կապ» Բրս. գոհ., որից՝ երիզապինդ Յհ, ժա. 44. երիզապնդեալ Մամբր.,",Etymology needs research,,merge_complete.py,
ԵՐԻԹ,,"(ի-ա հլ. ըստ ՆՀԲ, թէև առանց վը-կայութեան) «փայտ ճեղքելու մեծ սեպ» Վստկ. 146, 156. Մխ. առակ. (գրուած ",Etymology needs research,,merge_complete.py,
ԵՐԻՍ,,"«ժողանոցս», այսպէս ունի Բառ. ե-րեմ. էջ 92։",Etymology needs research,,merge_complete.py,
ԵՐԿՆ,,", ն հլ. (-կան, -կամբ, կունք, -կանց) «տղաբերքի ցաւ» ՍԳր. Եփր. ա. թես-182, «տառապանք ցաւ, տագնապ, վախ,",= Մեկնութիւնը տե՛ս երկնչել։,,Calfa lexical-databases: etymology/etymology01.xml,
ԵՐՈՒ,,"2 անստոյգ նորագիւտ բառ, որ յգ. սեռ. երուաց ձևով գտնում եմ մէկ անգամ գործածուած Վկ. արև. էջ 54= Սոփեր",Etymology needs research,,merge_complete.py,
ԵՐՓՆ,,"(յետնաբար ի հլ.) «գոյն, երանգ» Ոսկ. յհ. ա. 13. Վեցօր., որից՝ երփն երփին «գոյնզգոյն» ՍԳր. Մծբ. Ոսկ. յ",Etymology needs research,,merge_complete.py,
ԵՒԳԻ,,«իբրև դու». ունի միայն Բառ. երեմ. էջ 94. ի՛նչ լինելը յայտնի չէ։,Etymology needs research,,merge_complete.py,
ԶԱՄՊ,,"«լեռների վրայ դիզուած ձիւն,» Սալաձ. ունի միայն ՀԲուս. § 695, որ մեկ-նում է «ծաղիկ մը կամ լեռներու վր",Etymology needs research,,merge_complete.py,
ԶԱՓԴ,,տե՛ս Ղափեթ։,Etymology needs research,,merge_complete.py,
ԶԳՕՆ,,տե՛ս Զգալ։,Etymology needs research,,merge_complete.py,
ԶԵՂԾ,,տե՛ս Եղծ։,Etymology needs research,,merge_complete.py,
ԶԵՂՋ,,«ահարկու». ունի միայն Բառ. երեմ. էջ 100։,Etymology needs research,,merge_complete.py,
ԶԵՂՑ,,տե՛ս Ձեղց։,Etymology needs research,,merge_complete.py,
ԶԵՐԴ,,", ՉԵՐԹ տե՛ս Զիմ",Etymology needs research,,merge_complete.py,
ԶԻԳՆ,,"«մի տեսակ ձուկ» ԱԲ, «սեղակաց դասէն աճառուտ ձկանց սեռ, վագերաձկանց և շանաձկանց շատ մօտ, որուն գլուխը ",Etymology needs research,,merge_complete.py,
ԶԻՂԽ,,"«խախուտ, անհաստատ, սահուն» Առակ. է. 6. Ոսկ. եփես. և յհ. ա. 10, «շը-ռայլ, ցոփ, անառակ» Սիր. իա. 18. Ո",Etymology needs research,,merge_complete.py,
ԶԻՆՉ,,տե՛ս Ինչ։,Etymology needs research,,merge_complete.py,
ԶԻՍՏ,,", ի-ա հլ. (յետնաբար նաև ի, ո հլ. «նստոյ տեղից մինչև ծունկը եղած մասը» ՍԳր. Փիլ. Խոր., «նաւի նստարան»",Etymology needs research,,merge_complete.py,
ԶԻՒՇ,,«խլուրդ» Հին բռ. և Բառ. երեմ. էջ 102. որոնցից էլ առել է ՓԲ. իսկ ՆՀԲ յիշում է զոշ բառի տակ։,Etymology needs research,,merge_complete.py,
ԶԿՆԻ,,տե՛ս Կին-ք։,Etymology needs research,,merge_complete.py,
ԶՀԵՏ,,տե՛ս Հետ։,Etymology needs research,,merge_complete.py,
ԶՂԱԼ,,տե՛ս Զողալ։,Etymology needs research,,merge_complete.py,
ԶՄԱՅ,,"«դժուարաշնչութիւն, asthme» Գա-ղիան. ունի միայն Նորայր, Բառ. ֆր. 100բ։",Etymology needs research,,merge_complete.py,
ԶՄԷ՞,,տե՛ս Ի։,Etymology needs research,,merge_complete.py,
ԶՆԻՆ,,"(գրուած նաև զընին, սխալմամբ զննին՝ շփոթելով զննել բառի հետ. այժմ էլ ոմանք շարունակում են այս սխալը, ",Etymology needs research,,merge_complete.py,
ԶՈՒԶ,,«հաստատ կամ նախապարգև». ունի միայն Բառ. երեմ. էջ 104։,Etymology needs research,,merge_complete.py,
ԶՈՒՏ,,", ո հլ. «մաքուր, անխառն» Գ. թգ. զ. 21. է, 49, 50. Ագաթ. որից զտել «հալեցնե-լով մաքրել (մետաղը). 2. մ",Etymology needs research,,merge_complete.py,
ԶՌՃԻ,,"«մի տեսակ ծառ» Պտմ. վր. ուրիշ վկայութիւն չկայ։ (Լուսինեան, Բառ. ֆր. համարում է ֆրանս. tek, որ է լտ. ",Etymology needs research,,merge_complete.py,
ԶՐԱՒ,,"«վերջ, վերջանալը» Ոսկ. ես. մտթ. կող. Եւս. քր. «կեանքի վերջը, մահ» Արծր. որից զրաւել «վերջացնել (մի բ",Etymology needs research,,merge_complete.py,
ԷՂՆԱ,,«որ էրն». ունի միայն Բառ. երեմ. էջ 106։,Etymology needs research,,merge_complete.py,
ԷՐԱՆ,,տե՛ս Երան։,Etymology needs research,,merge_complete.py,
ԸՂԻՍ,,"«մի տեսակ հիւանդութիւն է». նո-րագիւտ բառ, որ մի անգամ դտնում եմ գոր-ծածուած էֆիմ. էջ 156 «Ըստ բժշկաց",Etymology needs research,,merge_complete.py,
ԹԱՂԹ,,"(գրուած նաև թախթ, թախտիկ) «մի տեսակ բոյս. լտ. atriplex hor-tensis L ֆր. arroche, որ և հյ. թայլ, յն. ",Etymology needs research,,merge_complete.py,
ԹԱՂԻ,,". անյայտ իմաստով. ունի Բժշ. Հև աևեալ հատուածում. «Կարմիր թաղի տապկէ ջրով, օծնէ նօդով (=նաւթով) և խար",Etymology needs research,,merge_complete.py,
ԹԱՅԼ,,"«մի տեսակ բոյս է» Գաղիան. Բժշ, ըստ ՀԲուս. § 764 «լտ. atriplex, pes anseri-nus կամ փրփրեմ, հոռոմ սպան",Etymology needs research,,merge_complete.py,
ԹԱՆԴ,,«մեծազին» տե՛ս Թանկ։,Etymology needs research,,merge_complete.py,
ԹԱՆՑ,,տե՛ս Անց։,Etymology needs research,,merge_complete.py,
ԹԱՇՏ,,տե՛ս Դաշտ (խազը).,Etymology needs research,,merge_complete.py,
ԹԱՎԹ,,«չոր տանձ» Բժշ. ունի միայն ՀԲուս. § 3316։,Etymology needs research,,merge_complete.py,
ԹԱՐԹ,,"«աչք բանալ փակելը». արմատ ս-սանձին անգործածական, թէև ՀՀԲ յիշում է վերի նշանակութեամբ և Kivola, Բառ. ",Etymology needs research,,merge_complete.py,
ԹԱՐԽ,,"«նախագիծ օրինակ, ուրուական գաղափար նկարուց և քանդակաց. ébauche». իբր մհյ. բառ ունի Նորայր, Բառ. ֆր. ",Etymology needs research,,merge_complete.py,
ԹԱՐԿ,,«ադամանդի երեսները». նորագիւտ բառ՝ որ երկու անգամ գտնում եմ գոռծած-ուած Առաք. պտմ. 461 «Ալմաստն... վ,Etymology needs research,,merge_complete.py,
ԹԱՐՑ,,"«բացի, զատ, առանց» Երզն. մտթ. 355, որից բայական ձևով թարցել «առան-ցել», որ գիտէ միայն Բառ. երեմ. էջ ",Etymology needs research,,merge_complete.py,
ԹԱՒՊ,,տե՛ս Թօպ։,Etymology needs research,,merge_complete.py,
ԹԵԱՅ,,«երկիւղ». ունի միայն Բառ. երեմ. էջ 118։,Etymology needs research,,merge_complete.py,
ԹԵՂԹ,,"«թէյ, չայ». այս բառը գիտէ միայն Կ. Սարաֆեան, Բանալի գիտութեան, Սանկ-պետերբ. 1788, էջ 53. որ և էջ 238",Etymology needs research,,merge_complete.py,
ԹԵՐԻ,,տե՛ս Թեր։,Etymology needs research,,merge_complete.py,
ԹԷՂՔ,,"«թել, թելերի շարք». մէկ անգամ միայն գործածուած է Ոսկ. ես. էջ 10 «Իբրև թէղք մի արձակեալ, դարձեալ անդր",Etymology needs research,,merge_complete.py,
ԹԻՆԴ,,տե՛ս Թունդ։,Etymology needs research,,merge_complete.py,
ԹԻՒՆ,,«մինչ ոստայն լիցի». ունի միայն Բառ. երեմ. էջ 119. ինչ լինելը յայտնի չէ։,Etymology needs research,,merge_complete.py,
ԹԻՒՐ,,", ի-ա հլ. «ծուռ» ՍԳը. հնագոյն գրու-թիւնն է թեւր, նոր ձևն է թոյր. արդի գրակա-նում ընդունուած է միայն ",Etymology needs research,,merge_complete.py,
ԹԼԱՀ,,"«արհամարհանք, անարգանք». ա-ռանձին չէ գործածուած. որից թլահ առնել «արհամարհել, անարգել» ոճր, որ ունի ",Etymology needs research,,merge_complete.py,
ԹԼԻՏ,,", ԹԼԻՆՔ «քուրձ, մախաղ», ունի մի-այն Բառ. երեմ. էջ 308։",Etymology needs research,,merge_complete.py,
ԹԼԻՓ,,«օձիքի և գրպանի եզերքին՝ ամրու-թեան կամ զարդի համար կարուած երիզ» Փիլ. ել. 545. «թարթիչների տակ ծարի,Etymology needs research,,merge_complete.py,
ԹԽԵԼ,,", ԹԽՍԵԼ տե՛ս Թուխ։",Etymology needs research,,merge_complete.py,
ԹՂՔԻ,,"«լեռնային ծառ է, acer, ֆր. erable, ռեւմ Ahorn. ռուս. кленъ, որի գլխաւոր տե-սակներն են acer campestre",Etymology needs research,,merge_complete.py,
ԹՄԱԹ,,"«ծարրաքար, antimoniure». ունի միայն Քաջունի, հտ. Գ. էջ 80, բայց չի յի-շում հտ. Ա. էջ 126 antimoniure",Etymology needs research,,merge_complete.py,
ԹՄԲԻ,,"«գրտնակ». ունի միայն Տիրոյեան, Հանռագրութ. էջ 370, 407։",Etymology needs research,,merge_complete.py,
ԹՈՄՆ,,«որ թոյլ է». ունի միայն Բառ. ե-րեմ. էջ 121։,Etymology needs research,,merge_complete.py,
ԹՈՅԼ,,տե՛ս Թող։,Etymology needs research,,merge_complete.py,
ԹՈՅՆ,,", ի-ա հլ. (յետնաբար ի հլ. ՆՀԲ ղնում է նաև ո հլ. բայց առանց վկայութեան) «մահադեղ» ՍԳր. Եփր. ծն. էջ 19",Etymology needs research,,merge_complete.py,
ԹՈՅՐ,,"(ի հլ. ըստ ՆՀԲ, թէև առանց վկա-յութեան) «գոյն, երանգ» Ոսկ. ա. տիմ. Պիտ. որից գեղեցկաթոյր Պիտ. սպիտակա",Etymology needs research,,merge_complete.py,
ԹՈՆԾ,,"«վիհ, գահավէժ». գիտէ միայն Տի-րոյեան, Հանրագրութ. 408։",Etymology needs research,,merge_complete.py,
ԹՈՆՁ,,"«հաւալուսն, փորահաւ, pélican». մէկ անգամ ունի Փիլ. լիւս. 140. ուրիշ վկա-յութիւն չկայ։ Սակայն Փարպ. է",Etymology needs research,,merge_complete.py,
ԹՈՐԽ,,"«չորացած ծառ». նորասգիւտ բառ. երկու անգամ ունի Վստկ. 72, 174 «Մեծա-մեծ թորխ ծառեր վառեա և շատ գշկուր",Etymology needs research,,merge_complete.py,
ԹՈՒԳ,,«ծագ կամ ծակ». ունի միայն Բռ. երեմ. էջ 120։,Etymology needs research,,merge_complete.py,
ԹՈՒԹ,,"նոռառիւտ անստոյգ բառ, որ մի անգամ գտնում եմ գործածուած Տաթև. ամ էջ 264 «Ասէ ի Մակաբայեցւոց թէ յորժամ",Etymology needs research,,merge_complete.py,
ԹՈՒՃ,,«Վենետկի դուքսը». Յկ. կր. էջ 27։ = Իտալ. doge նոյն նշ։ Թերևս և սրանից աղաւաղուած թրք. tuj (?) ձևից։-,Etymology needs research,,merge_complete.py,
ԹՈՒՇ,,. ի-ա հլ. «այտ» ի գիրս Խոսր. Տօ-նակ. Մարթին. Վստկ. 205։,Etymology needs research,,merge_complete.py,
ԹՈՒՊ,,տե՛ս Թօպ։,Etymology needs research,,merge_complete.py,
ԹՈՒՌ,,. անստոյգ բառ. մէկ անգամ գործա-ծել է Փիլ. տեսակ. էջ 17 «Պատառս և թուռս մարդկան ուտելով». որի՞ց թռալի,Etymology needs research,,merge_complete.py,
ԹՊՂԱ,,"«մի տեսակ չար դև», որ և թեպղա, թեպղ Ախտարք։",Etymology needs research,,merge_complete.py,
ԹՐՈՒ,,"«անշահ, անպիտան, անօգուտ». գիտէ միայն ՀՀԲ, որ թերևս ենթադրու-թեամբ է շինած յաջորդ թրուշայ ձևից։",Etymology needs research,,merge_complete.py,
ԺԱՅՌ,,"(ի հլ. ըստ ՆՀԲ, բայց առանց վկա-յութեան) «ապառաժ, սեպացեալ մեծ քար» Ա. թագ. ժդ. 5 (երկու անգամ). որից",Etymology needs research,,merge_complete.py,
ԺԱՆԻ,,"«ռառանի սուր ատամ». սովորա-բար անեզական է (-նեաց, -նեօք). ՍԳր. Ոսկ. մ. ա. 4. եզակի գործածութեամբ ուն",Etymology needs research,,merge_complete.py,
ԺԱՆՐ,,"«ընծախոտ, aconit բոյսը». ունի միայն Քաջունի, Գ. 84, բայց չկայ բուն բա-սարանում (Ա. 26) aconit բառի տ",Etymology needs research,,merge_complete.py,
ԺԻՇՏ,,տե՛ս Հրաժ-ար-իլ։,Etymology needs research,,merge_complete.py,
ԺԼԱՏ,,", ի հլ.? «ագահ, կծծի» Սիր. լդ. 23. Ոսկ. յհ. ա. 7. որից ժլատել Սիր. լդ. 20. Եփր. թգ. 442, 450. ժլատեա",Etymology needs research,,merge_complete.py,
ԺԽՈՐ,,"«խառնաձայն աղմուկ, շփոթ ձայն» Ոսկ. մ. բ. 12. «խառնակ, շփոթ» Փիլ. բագն. Ճառընտ. որից ժխոր կալնուլ «խե",Etymology needs research,,merge_complete.py,
ԺՄԻՏ,,տե՛ս ժպիտ։,Etymology needs research,,merge_complete.py,
ԺՈՂԽ,,"«նեխած, լխկած, հոտած» (գործա-ծական է նոր գրականում (արևմտեան բար-բառ) միայն ձուի համար). որից ժողխիլ",Etymology needs research,,merge_complete.py,
ԺՈՒՄ,,տե՛ս ժամ։,Etymology needs research,,merge_complete.py,
ԺՈՒՌ,,«պտոյտ» տե՛ս Շուրջ։,Etymology needs research,,merge_complete.py,
ԺՊԻՏ,,«քմծիծաղ» Կանոն. որից ժպտիլ «կէս ծիծաղիլ» Սիր. իա. 23. Նար. Լմբ. Վրք. հց. ժպտումն Խոր. Արծր. ժպտական,Etymology needs research,,merge_complete.py,
ԻԱՄԻ,,«հանճար». ունի միայն Բառ. երեմ. է︎ 125։,Etymology needs research,,merge_complete.py,
ԻՄԷՆ,,«այս». ունի միայն Բառ. երեմ. էջ 128։,Etymology needs research,,merge_complete.py,
ԻՆՔՆ,,"(ինքեան կամ ընքեան, ինքեամբ. ինքեանք, ինքեանց) «ինքը» ՍԳր. Եզն. Վեց-օր. զանազան դարձուածներով և ոճեր",Etymology needs research,,merge_complete.py,
ԻՐԱՆ,,", ի-ա հլ. (յետնաբար նաև -ունք, -անց, -ամբք) «մարմնի վերի մատը ամբող-ջովին՝ առանց գլուխը հետ առնելու»",=Նախահայ *էրան ձևից։,,Calfa lexical-databases: etymology/etymology01.xml,
ԻՐԱՐ,,տե՛ս Իրեար։,Etymology needs research,,merge_complete.py,
ԻՐԱՒ,,տե՛ս Իր։,Etymology needs research,,merge_complete.py,
ԻՔԻՄ,,". անյայտ բառ, որ ունի Ներսեսովիչ, Բառ. լտ. -հյ. էջ 203 բ. (faux, իքիմ, շրթուն. -թան). սոյն լտ. բառը ",Etymology needs research,,merge_complete.py,
Իվան,proper noun,"a transliteration of the Russian male given name Ива́н (Iván), Ivan.",Etymology needs research,,merge_complete.py,
ԼԱՄԲ,,«օղակ՝ որի միջից անցկացնելով ձո-ղը՝ բեռն են վերցնում» Ել. իե. 27. Վրդն. ել. որից լամբաւոր կամ լամպաւ,Etymology needs research,,merge_complete.py,
ԼԵՂԻ,,"(-ղւոյ, -ղեաւ) «լեարդի լեղին» ՍԳր. Ագաթ. «դառն» Ոսկիփ. գրուած է նաև ղեղի (այսպէս օր. կրկնագիր Ագաթ. ",Etymology needs research,,merge_complete.py,
ԼԵՂՏ,,"«դիրտ, մրուր, աղտ, կեղտ». գիտէ միայն Տիրոյեան, Հանրագրութ. 418։",Etymology needs research,,merge_complete.py,
ԼԵՇԿ,,"(գրուած նաև լեաշկ, լաշկ) «խաւր թափած, մաշուած, լերկ» Ոսկ. ա. տիմ. ը. Եփր. երբ. որից լեշկամաշկ կամ լա",Etymology needs research,,merge_complete.py,
ԼԻԿՆ,,", սեռ. լկան. անստոյգ ձևով բառ, որ սեռ. լկան ձևով մէկ անգամ գործածում է Ոսկ. ես. 264 «Տեսանե՞ս զի բոլ",Etymology needs research,,merge_complete.py,
ԼՄԱԿ,,տե՛ս Լկամ։,Etymology needs research,,merge_complete.py,
ԼՄԱՆ,,տե՛ս Լի։,Etymology needs research,,merge_complete.py,
ԼՄԵԼ,,"«ճմրել շաղուել, կոխել, կակղացնել» եմ. ժե 7 (ևաւր), Արծր. հրտր. Պատկ. էջ 28 (թաղիքը). պարզ արմատն է լ",Etymology needs research,,merge_complete.py,
ԼՈԲԻ,,տե՛ս Լովիաս։,Etymology needs research,,merge_complete.py,
ԼՈՐՏ,,"«ծոյլ, թոյլ, հեղգ, դանդաղ». երկու անռամ ունի Ոսկ. պօղ. Ա 926, Բ. 434. որից լորտնեալ «թուլացած, յոգնա",Etymology needs research,,merge_complete.py,
ԼՈՒՏ,,. գտնւում է միայն մօտ բառի կրկնա-կան մօտալուտ ձևի մէջ. Գ. մակ. ե. 4 (սխալ գրուած մօտաշուտ). Ագաթ. առ,Etymology needs research,,merge_complete.py,
ԼՈՒՐ,,"«լոկ, միայն, միայն թէ» Կոչ. 108 Վրդն. պտմ. էջ 158, Վստկ. 131. Շնորհ. ա-ռակ. 85, Ուռհայեցի՝ էջ 135, 2",Etymology needs research,,merge_complete.py,
ԼՍԵԼ,,«թողնուլ». ունի միայն Բառ. երեմ. էջ 135։,Etymology needs research,,merge_complete.py,
ԽԱԶՄ,,"(ի հլ. ըստ ՆՀԲ, բայց առանց վկա-յութեան) «կռիւ, պատերազմ, վեճ, պայքար» խոր. Բրս. հց. Համամ առկ. որից ",Etymology needs research,,merge_complete.py,
ԽԱԼԻ,,"«մի տեսակ արաբական ծաղիկ է» խոր. աշխ. 612. գրուած է նաև հալի (տե՛ս ՀԲուս. § 1589), այլ ձեռ. գրում է ",Etymology needs research,,merge_complete.py,
ԽԱԾԻ,,«կտնառք» տե՛ս Խած։,Etymology needs research,,merge_complete.py,
ԽԱՂԲ,,", ԽԱՂԲԱԿԵԼ տե՛ս Հաղբ։",Etymology needs research,,merge_complete.py,
ԽԱՂՃ,,". արմատ առանձին անգործածա-կան, որից կազմուած են խաղճունք «կռճիկ» Տիմոթ. կուզ, էջ 324, խաղճախուղճ (կր",Etymology needs research,,merge_complete.py,
ԽԱՂՏ,,"«փշուր փշուր»? անստոյգ նշանա-կութեամբ նորագիւտ բառ, որ մէկ անգամ գտնում եմ. գործածուած Աղէքսանդրի կա",Etymology needs research,,merge_complete.py,
ԽԱՅՏ,,", ի հլ. շէնքի վերաբերեալ անստոյգ նորագիւտ բառ, որ մէկ անգամ գտնում եմ գործածուած Գանձարանում. վկայու",Etymology needs research,,merge_complete.py,
ԽԱՇՆ,,", ն հլ. (-շին, -շինք, -շանց) «ոչ-խարի և կամ այծի հօտ» ՍԳր. Ագաթ. որից խաշնադարման Ծն. խզ. 32, 34. խա",Etymology needs research,,merge_complete.py,
ԽԱՐԲ,,«վրացի կոճ» տե՛ս Խարբախ։,Etymology needs research,,merge_complete.py,
ԽԱՐԹ,,"«կրօնաւորի փիլոն». նորագիւտ բառ, որ մէկ անգամ գործածել է Մխիթար Ապարանցի (1410 թ.).-«Արարին երկայն խ",Etymology needs research,,merge_complete.py,
ԽԱՐԻ,,"«մի տեսակ բոյս է, որի արմատից պատրաստում են կարմիր սնգոյր. հաւաժի-պակ, լտ. anchusa» Բժշ. Բռ. ստեփ. լ",Etymology needs research,,merge_complete.py,
ԽԱՐՁ,,", ի հլ. (կայ նաև խարձունք, -ձանց) «եղեգնուտ, շամբ» Բուզ. 118. Փիլ. լիւս. 129. Իմաստ 6Չ. Պտմ. աղէքս. ",Etymology needs research,,merge_complete.py,
ԽԵՂԲ,,"(գրուած նաև խիղբ) «ծիլ, ընձիւղ կամ արմատի մազմզուքը» Վեցօր. որից խիղբ արկանել «արմատի թելեր արձակելը",Etymology needs research,,merge_complete.py,
ԽԵՂԴ,,", ի հլ. «խեղդում և խեղդելու չուան» ԱԳր. Եզն. Ոսկ. Եւս. քր. որից խեղդել ՍԳր. խեղդնուլ Մագ. խեղդամահ Խ",Etymology needs research,,merge_complete.py,
ԽԵՂՃ,,տե՛ս Խիղճ։,Etymology needs research,,merge_complete.py,
ԽԵՆԹ,,"«յիմար, անմիտ, փա-խուկ» Պիտառ. որից խենթական «յիմարա-կան» Նար. յովէդ։",Etymology needs research,,merge_complete.py,
ԽԶԵԼ,,տե՛ս Խուզ։,Etymology needs research,,merge_complete.py,
ԽԹԵԼ,,տե՛ս Խիթ։,Etymology needs research,,merge_complete.py,
ԽԻՂԲ,,"«շատ, մի խումբ, բազմաթիւ» Արծր. բ. 6. ուրիշ վկայութիւն չկայ։",Etymology needs research,,merge_complete.py,
ԽԻՂԾ,,տե՛ս յաջորդը։,Etymology needs research,,merge_complete.py,
ԽԻՆՁ,,"«մի տեսակ բոյս. tragopogon pra-tensis L» (ըստ Արթինեան, Տունկերը, էջ 25). որից խենձեղինոյ տակ Բժշ. ո",Etymology needs research,,merge_complete.py,
ԽԻՐՏ,,"«խրտնած, վախեցած» Ոսկ. փիլիպ. որից խիրտ ի խիրտս «երկբայելով, վախվը-խելով» Ոսկ. պաւղ. ա. էջ 388. խիրտ",Etymology needs research,,merge_complete.py,
